location,city,country,pollutant,value,timestamp,unit,source_name,latitude,longitude,averaged_over_in_hours,
Location where data was measured,City containing location,Country containing measurement in 2 letter ISO code,Name of the Pollutant being measured. Allowed values: PM25| PM10| SO2| NO2| O3| CO| BC,Latest measured value for the pollutant,The datetime at which the pollutant was measured| in ISO 8601 format,The unit the value was measured in coded by UCUM Code,Name of the source of the data,Latitude in decimal degrees. Precision >3 decimal points.,Longitude in decimal degrees. Precision >3 decimal points.,The number of hours the value was averaged over.,
Rome,Rome,US,so2,0.001,2017-01-03 13:00:00+00:00,ppm,AirNow,34.26054,-85.32333,1.0,
Rome,Rome,US,pm25,6.4,2019-03-15 07:00:00+00:00,µg/m³,AirNow,34.26054,-85.32333,1.0,
Rome-Kraftsman,Rome,US,so2,0.002,2019-04-01 19:00:00+00:00,ppm,AirNow,34.243645,-85.32595,1.0,
Taos Fire Station,Taos,US,pm25,1.0,2019-04-01 19:00:00+00:00,µg/m³,AirNow,36.3833,-105.5833,1.0,
Joliet,WILL,US,pm25,0.2,2019-04-01 19:00:00+00:00,µg/m³,AirNow,41.526886,-88.11647,1.0,
Waco C1037,Waco,US,o3,0.046,2019-04-01 19:00:00+00:00,ppm,AirNow,31.6531,-97.0706,1.0,
Waco C1037,Waco,US,pm25,4.6,2019-04-01 19:00:00+00:00,µg/m³,AirNow,31.6531,-97.0706,1.0,
York Landfill,YORK,US,so2,0.0,2019-04-01 19:00:00+00:00,ppm,AirNow,34.977,-81.207,1.0,
York Landfill,YORK,US,o3,0.052,2019-04-01 19:00:00+00:00,ppm,AirNow,34.977,-81.207,1.0,
Eliot, YORK,US,so2,0.001,2016-04-01 13:00:00+00:00,ppm,AirNow,43.111362,-70.76973,1.0,
Yuma Supersite,Yuma,US,pm10,28.0,2019-04-01 19:00:00+00:00,µg/m³,AirNow,32.690277,-114.61444,1.0,
Yuma Supersite,Yuma,US,o3,0.057,2019-04-01 19:00:00+00:00,ppm,AirNow,32.690277,-114.61444,1.0,
Yuma Supersite,Yuma,US,pm25,4.0,2019-04-01 19:00:00+00:00,µg/m³,AirNow,32.690277,-114.61444,1.0,
STILWELL CASTNET & N,ADAIR,US,so2,0.001,2019-04-01 19:00:00+00:00,ppm,AirNow,35.7506,-94.6697,1.0,
STILWELL CASTNET & N,ADAIR,US,o3,0.045,2019-04-01 19:00:00+00:00,ppm,AirNow,35.7506,-94.6697,1.0,
STILWELL CASTNET & N,ADAIR,US,co,0.04,2019-04-01 18:00:00+00:00,ppm,AirNow,35.7506,-94.6697,1.0,
STILWELL CASTNET & N,ADAIR,US,pm25,-0.1,2019-04-01 19:00:00+00:00,µg/m³,AirNow,35.7506,-94.6697,1.0,
STILWELL CASTNET & N,ADAIR,US,pm10,9.0,2019-04-01 19:00:00+00:00,µg/m³,AirNow,35.7506,-94.6697,1.0,
West Union,ADAMS,US,pm25,2.3,2019-04-01 19:00:00+00:00,µg/m³,AirNow,38.79471,-83.53399,1.0,
West Union,ADAMS,US,so2,0.0,2019-04-01 19:00:00+00:00,ppm,AirNow,38.79471,-83.53399,1.0,
West Union,ADAMS,US,o3,0.045,2019-04-01 19:00:00+00:00,ppm,AirNow,38.79471,-83.53399,1.0,
Ritzville-Alder St,ADAMS,US,pm25,2.4,2019-04-01 19:00:00+00:00,µg/m³,AirNow,47.128,-118.3819,1.0,
LINVF2,AVERY,US,o3,0.005,2016-04-26 10:00:00+00:00,ppm,AirNow,35.9722,-81.9331,1.0,
Cranberry,AVERY,US,o3,0.051,2019-04-01 19:00:00+00:00,ppm,AirNow,36.1058,-82.0454,1.0,
Lake Rockwell,Akron,US,o3,0.043,2019-04-01 19:00:00+00:00,ppm,AirNow,41.182465,-81.33048,1.0,
Patterson Park,Akron,US,o3,0.043,2019-04-01 19:00:00+00:00,ppm,AirNow,41.106487,-81.50355,1.0,
Patterson Park,Akron,US,co,0.0,2018-11-15 15:00:00+00:00,ppm,AirNow,41.106487,-81.50355,1.0,
East High School,Akron,US,pm25,4.5,2019-04-01 19:00:00+00:00,µg/m³,AirNow,41.063526,-81.468956,1.0,
East High School,Akron,US,o3,0.028,2018-10-13 20:00:00+00:00,ppm,AirNow,41.063526,-81.468956,1.0,
East High School,Akron,US,so2,0.0,2019-04-01 19:00:00+00:00,ppm,AirNow,41.063526,-81.468956,1.0,
